OBJECTID,SCH_GUID,COUNTYCODE,COUNTY,DIST_CODE,DIST_NAME,SCHOOLCODE,SCHOOLTYPE,SCHOOL,SCHOOLNAME,X,Y,SOURCE
3208,d2a58145-316f-4c76-98e4-83b5d5997507,31,PASSAIC,4010,Paterson Public School District,316,ELEMENTARY SCHOOL,New Roberto Clemente,New Roberto Clemente,586776.7321,757465.878,PUBLIC
3209,4ab716b0-8ac2-49d4-818f-458a06443ce3,31,PASSAIC,4010,Paterson Public School District,25,FOUR-YEAR HIGH SCHOOL,Students Transitioning and Achieving Real Success,STARS Academy,591112.3921,758836.0583,PUBLIC
3210,95a68589-7f73-4818-b09d-e019412f7fc2,39,UNION,1320,Elizabeth Public Schools,310,ELEMENTARY SCHOOL,Dr. Antonia Pantoja School No. 27,No. 27 Dr. Antonio Pantoja School,569015.1197,670236.4921,PUBLIC
3211,64674eea-7d36-48c7-9571-e4388a3b3923,23,MIDDLESEX,4090,Perth Amboy Public School District,80,NURSERY/PRESCHOOL,Edmund Hmieleski Early Childhood Center,Edmund J. Hmieleski Ecc,554969.7849,618563.6506,PUBLIC
3212,12e26aa9-2496-4060-bc68-750cd5e6f766,39,UNION,4160,Plainfield Public School District,52,FOUR-YEAR HIGH SCHOOL,Plainfield Academy  For The Arts & Advanced Studies,Plainfield Academy for The Arts & Advanced Studies,504638.5942,642588.715,PUBLIC
3213,8e99d818-3da7-45a3-9aa2-cf797ba18605,5,BURLINGTON,3650,North Hanover Township School District,36,ELEMENTARY SCHOOL,North Hanover Township Upper Elementary School,Upper Elementary,468069.5804,451277.4359,PUBLIC
3214,c6fc2af4-89a8-463b-82d9-75202f50f920,23,MIDDLESEX,3145,Educational Services Commission Of New Jersey,31,SPECIAL ELEM/SEC SCHOOL FOR HANDICAPPED,Center For Lifelong Learning,Center For Lifelong Learning,541430.8504,589748.9254,PUBLIC
3215,a16ff4dc-5155-4843-b5c8-480fc1c87b16,39,UNION,5090,Summit Public School District,150,NURSERY/PRESCHOOL,Primary Center At Jefferson,Jefferson Primary Center,533474.3942,682180.0246,PUBLIC
3216,c36e3479-9790-4973-8056-1a4147925a0b,39,UNION,5090,Summit Public School District,160,NURSERY/PRESCHOOL,Primary Center At Wilson,Summit Primary Center At Wilson,526099.9211,685137.5433,PUBLIC
3217,78059379-78d8-42f4-9453-8991bfd8a748,21,MERCER,3105,Area Vocational Technical School District of Mercer County,40,COUNTY VOCATIONAL-TECHNICAL SCHOOL OR INSTITUTE,MCVS Arthur R. Sypek Center,Mercer County Technical School Sypek Center Vocational School,417211.7901,529549.2902,PUBLIC
3218,3f7de746-68ab-4eee-b44f-7902ee863b8f,21,MERCER,5210,Trenton Public School District,210,ELEMENTARY SCHOOL,Gregory Elementary School,Gregory Elementary School,414700.696,509400.8718,PUBLIC
3219,ace4d6ff-e4d8-47da-ae5b-ccdd31baf885,21,MERCER,5210,Trenton Public School District,301,GRADES 6-8,Hedgepeth - Williams Intermediate School,Hedgepeth - Williams Intermediate School,425951.5679,505833.3682,PUBLIC
3220,c2a32264-f85c-48e9-8c50-31e6db7c99c0,21,MERCER,5210,Trenton Public School District,304,GRADES 4-6,Joyce Kilmer Intermediate School,Joyce Kilmer Elementary School,410612.6212,513112.4743,PUBLIC
3221,6864c3c1-7a86-4f14-81d5-fc5cc4a129ed,21,MERCER,5210,Trenton Public School District,265,ELEMENTARY SCHOOL,P.J. Hill Elementary,P. J. Hill Elementary School,424325.6328,507129.4036,PUBLIC
3222,748b00d8-8348-476b-9687-a25c781b573b,21,MERCER,5210,Trenton Public School District,280,ELEMENTARY SCHOOL,Robbins Elementary School,Robbins Elementary School,422392.7591,503765.6525,PUBLIC
3223,98356396-80a9-4d53-86ac-9f925ca14efc,21,MERCER,5210,Trenton Public School District,300,ELEMENTARY SCHOOL,Washington Elementary School,Washington Elementary School,423684.4727,501610.7444,PUBLIC
3224,ceec2ce8-876a-4143-a05b-cb2190a5cb17,21,MERCER,2280,Hopewell Valley Regional School District,65,ELEMENTARY SCHOOL,Stony Brook Elementary School,Stony Brook Elementary School,420050.5544,536258.8362,PUBLIC
3225,ed83c983-c0dc-45cb-a81b-e512fbeb18f8,21,MERCER,2280,Hopewell Valley Regional School District,75,MIDDLE SCHOOL,Timberlane Middle School,Timberlane Middle School,406565.5909,544764.7696,PUBLIC
3226,7681ded8-cc9d-4151-98be-0dab2c69daf7,21,MERCER,2280,Hopewell Valley Regional School District,40,ELEMENTARY SCHOOL,Toll Gate Grammar School,Toll Gate/Grammar Elementary School,411333.7477,541991.1384,PUBLIC
3227,8678b829-788f-4125-b860-399b489a851c,1,ATLANTIC,110,Atlantic City School District,30,PK-GRADE 8 & UNGRADED,Sovereign Avenue School,Sovereign Avenue School,505831.1739,190037.7803,PUBLIC
3228,87ff6d88-4588-42f8-b64b-3cb65ab16141,15,GLOUCESTER,4020,Paulsboro School District,50,HIGH SCHOOL,Paulsboro High School,Paulsboro High School,283112.6065,366352.6097,PUBLIC
3229,a597da2e-2c87-4a88-91e8-2b7cd1886314,23,MIDDLESEX,5850,Woodbridge Township School District,275,ELEMENTARY SCHOOL,Port Reading Avenue Elementary School,Port Reading School,563856.8029,633283.9515,PUBLIC
3230,447fd045-b2db-41c3-a4d5-509316ae96ba,25,MONMOUTH,2770,Long Branch Public School District,65,ELEMENTARY SCHOOL,A A Anastasia Elementary School,A.A. Anastasia Elementary School,632372.4155,536729.3257,PUBLIC
3231,b358f1d4-909f-415f-9a7a-f0502f150290,29,OCEAN,2520,Lakewood Township School District,80,ELEMENTARY SCHOOL,Ella G Clarke Elementary School,Ella G Clarke Elementary School,576433.9648,459695.5457,PUBLIC
3232,09c7f3c3-06da-48d4-8709-b2a7b79d0960,3,BERGEN,290,Bergen County Vocational Technical School District,300,,Applied Technology High School,Applied Technology High School,605303.1193,772004.4155,PUBLIC
3233,feaf8e0d-19b7-40b6-8618-2ff77b7cd07f,3,BERGEN,1700,Garfield Public School District,302,PRESCHOOL,Garfield Public Preschool 3 At Headstart,Garfield Public Preschool Annex 3,602342.0931,746715.5895,PUBLIC
3234,762f37a5-9a02-4de4-ba03-de4300c06a7f,13,ESSEX,4900,South Orange-Maplewood School District,300,,Montrose Early Childhood Center,The Montrose Early Childhood Center,559689.9756,699674.157,PUBLIC
3235,a0c6418f-3b03-4eef-b247-71348d350c4a,13,ESSEX,3570,Newark Public School District,314,PRE-K3-K,Early Childhood School - Central,Early Childhood Academy - Berliner,579293.1336,691052.9127,PUBLIC
3236,78b5d1b7-77e9-4c07-8f82-3661ae4b565d,39,UNION,5260,Union County Vocational-Technical School District,300,HIGH SCHOOL,"Raymond J. Lesniak Experience, Strength, & Hope Recovery HS",Raymond Lesniak Energy Strength Hope Recovery High School,557821.1683,665177.3339,PUBLIC
3237,ab455864-34ac-450a-99a8-96f12761b56c,29,OCEAN,2520,Lakewood Township School District,301,ELEMENTARY SCHOOL,Piner Elementary School,Piner Elementary School,583658.0829,462739.226,PUBLIC
3238,9f40ee77-7818-4daa-bfac-4e240916aa20,21,MERCER,3105,Area Vocational Technical School District of Mercer County,302,COUNTY VOCATIONAL-TECHNICAL SCHOOL OR INSTITUTE,Mercer County Technical School STEM Academy,Mercer County Technical School STEM Academy,417211.7901,529549.2902,PUBLIC
3239,9dc49077-3cb0-43fc-acb8-1fb5e05d6938,7,CAMDEN,1799,"Kipp: Cooper Norcross, A New Jersey Nonprofit Corporation",111,,"Kipp: Cooper Norcross, A New Jersey Nonprofit Corporation",Kipp Cooper Norcross Academy At Lanning Square,318357.7522,403251.9349,PUBLIC
3240,cfe0aef0-caae-42cd-8c96-a9c08ac8d6df,7,CAMDEN,1801,"Camden Prep, Inc.",113,GRADES K-4,"Camden Prep, Inc.","Camden Prep, Inc.",322178.6498,398314.7371,CHARTER
3241,5c41f401-8625-418a-894f-43b18217424e,31,PASSAIC,4010,Paterson Public School District,303,GRADES 3-12,Young Men's Academy,Young Mens Academy,583054.4118,758591.8466,PUBLIC
3242,5d3a028f-1736-47cc-a186-d5c3f8cb14eb,35,SOMERSET,490,Bound Brook School District,36,ELEMENTARY SCHOOL,Lamonte-Annex Elementary School,Lamonte-Annex Elementary School,480579.4127,630018.3452,PUBLIC
3243,27b99610-ce82-4921-8356-8eb2f2b36805,35,SOMERSET,490,Bound Brook School District,301,"ELEMENTARY SCHOOL, GRADES 2-3",Lafayette Elementary School,Lafayette Elementary School,481904.6017,630521.0108,PUBLIC
3244,2b9ad23a-fda0-41df-abd0-cb5221ff3bb2,35,SOMERSET,490,Bound Brook School District,302,,Community Middle School,Community Middle School,482942.5228,629920.1374,PUBLIC
3245,c21e8030-445b-4f19-afcc-a4ae64448a4f,35,SOMERSET,3670,North Plainfield School District,300,,North Plainfield Middle School,North Plainfield Middle School,508927.6323,651622.2606,PUBLIC
3246,0cdbf8eb-5417-4347-a6d5-474c2444b85d,25,MONMOUTH,2770,Long Branch,90,ALTERNATIVE PROGRAMS FOR ALL GRADES,Audrey W. Clark School (Academy Of Alternative Programs),Audrey W. Clark School,635537.7006,535389.4813,PUBLIC
3247,f8af1659-4e52-48a5-a4b5-d3ce23882ff9,3,BERGEN,285,Bergen County Special Services School District,30,SPECIAL ELEMENTARY/SECONDARY SCHOOL FOR HANDICAPPED,Hearing Impaired,Hearing Impaired,614269.9619,773459.3644,PUBLIC
3248,91951b74-8f27-41d4-8b91-b1166048689e,31,PASSAIC,3970,Passaic City School District,300,,Passaic Gifted And Talented Academy School No. 20,Passaic Gifted And Talented Academy School No 20,594826.4834,739079.9043,PUBLIC
3249,ebcc825d-d054-48d6-8880-e2dbeec8625e,13,ESSEX,3570,Newark Public School District,316,PRE K-K,Ecc North,Early Childhood School - North,581873.8131,702302.1268,PUBLIC
3250,772c6b89-6ea0-4275-9af4-92972fd63bd2,3,BERGEN,3710,Northern Valley Regional High School District,300,SPECIAL EDUCATION,Northern Valley Central,Northern Valley Central,641066.0041,788223.3916,PUBLIC
3251,6a16f2da-4f00-4f75-8d1e-69f0cdeca08d,21,MERCER,1430,Ewing Township School District,105,ELEMENTARY SCHOOL,Francis Lore Elementary School,Francis Lore Elementary School,398228.4892,526534.0193,PUBLIC
3252,b7606bb0-9806-4d9f-8b05-1ea6eec44383,21,MERCER,1430,Ewing Township School District,130,ELEMENTARY SCHOOL,Parkway Elementary School,Parkway Elementary School,414269.8449,513255.0528,PUBLIC
3253,9fed2134-c366-4d86-ac03-72c42b671df4,21,MERCER,2280,Hopewell Valley Regional School District,35,ELEMENTARY SCHOOL,Bear Tavern Elementary School,Bear Tavern Elementary School,395360.9883,535958.3827,PUBLIC
3254,76d79c70-b80b-477d-a935-896ee7d4f341,21,MERCER,2280,Hopewell Valley Regional School District,30,FOUR-YEAR HIGH SCHOOL,Hopewell Valley Central High School,Central High School,407323.9178,544328.862,PUBLIC
3255,88bac3ae-f01e-4a70-b42f-b01faf64a3f7,21,MERCER,1430,Ewing Township School District,50,FOUR-YEAR HIGH SCHOOL,Ewing High School,Ewing High School,410990.9187,517659.5702,PUBLIC
3256,98fb1198-488a-4c60-afe1-09c81be43164,21,MERCER,1430,Ewing Township School District,60,MIDDLE SCHOOL,Gilmore J Fisher Middle School,Gilmore J. Fisher Middle School,410035.6394,524475.0313,PUBLIC
3257,9af7dc25-2821-47f8-8aa9-75d1922d238f,13,ESSEX,3570,Newark Public School District,315,ELEMENTARY,Sir Isaac Newton Elementary School,Sir Isaac Newton Elementary School,578141.1155,693794.4614,
3258,dd6f6f42-3d09-435d-b33a-f9b532161a75,39,UNION,5730,Westfield Public School District,170,KINDERGARTEN SCHOOL,Lincoln Early Childhood Center,Lincoln School,535812.4364,658467.7515,PUBLIC
3259,951e01e6-9685-4c0f-99f1-b6767f13bb9e,25,MONMOUTH,5310,Upper Freehold Regional School District,70,MIDDLE SCHOOL,Stonebridge Middle School,Stone Bridge,461818.3482,489721.5533,PUBLIC
3260,212d68d2-bf10-45ae-80c1-891d8a3d19c4,21,MERCER,5210,Trenton Public School District,305,MIDDLE SCHOOL,"Dr. Martin Luther King, Jr.",Dr. Martin Luther King Middle School,420097.8424,508959.3448,PUBLIC
3261,f0ebf969-f8ba-4eaf-b8de-94cd017736b4,17,HUDSON,2390,Jersey City Public Schools,2,MIDDLE SCHOOL,Infinity Institute,Infinity Institute,604720.3554,678761.58,PUBLIC
3262,1a5593e0-9b78-439c-b63c-f547e054488a,3,BERGEN,1370,Englewood Public School District,86,ELEMENTARY SCHOOL,Dr. John Grieco Elementary School,Dr. J. Crieco Elementary School,638060.2339,755023.022,PUBLIC
3263,a5361fc8-bb1d-49e8-a4d1-849d70b103ad,1,ATLANTIC,1790,Greater Egg Harbor Regional High School District,60,FOUR-YEAR HIGH SCHOOL,Cedar Creek High School,Cedar Creek High School,456029.201,261690.7423,PUBLIC
3264,16423612-97d7-4f9b-8a45-7c8e443aae13,33,SALEM,4150,Pittsgrove Township School District,80,ELEMENTARY SCHOOL,Elmer Elementary School,Elmer Elementary School,301440.604,277240.8299,PUBLIC
3265,5a1d7764-cd5b-4c1d-8b8f-0a2702cf9e8d,1,ATLANTIC,590,Buena Regional School District,300,,Dr. J.P. Cleary Elementary School,Dr. J.P. Cleary Elementary School,365707.0913,248078.695,PUBLIC
3266,8790d7e0-2867-4ee4-a9ae-dbadf41c8c11,3,BERGEN,1270,Edgewater School District,300,,George Washington School,George Washington School,638817.4496,732042.7238,PUBLIC
3267,f9c7de51-a28c-45a4-b9fa-12c6d27a4479,3,BERGEN,1860,Hackensack School District,300,MIDDLE SCHOOL,Hackensack Middle School,Hackensack Middle School,618472.6727,749380.9591,PUBLIC
3268,88db9a90-cffd-4fc4-b0e3-4f66c5e5bb62,3,BERGEN,3170,Midland Park School District,300,,Godwin Elementary School,Godwin Elementary School,591506.0202,786766.5107,PUBLIC
3269,ef4cdd55-d010-4c12-8fab-b39464a4ba8d,5,BURLINGTON,4050,Pemberton Township School District,300,,Pemberton Early Childhood Education Center,Pemberton Early Childhood Education Center,440743.1873,420453.3329,PUBLIC
3270,97128c5b-ffc0-41a7-8325-80aac1baad39,9,CAPE MAY,5340,Upper Township School District,50,ELEMENTARY SCHOOL,Upper Township Elementary School,Upper Township Elementary School,450387.331,158853.2399,PUBLIC
3271,1b291f85-8051-4a63-9bf9-bb0938b3b5d4,13,ESSEX,3880,Orange Board Of Education School District,300,,Orange Early Childhood Center,Orange Early Childhood Center,567019.0007,708513.1846,PUBLIC
3272,970813fa-30c4-4b19-8f34-b5d173d30dfc,13,ESSEX,3570,Newark Public School District,304,,Bard Early College High School,Bard Early Colledge High School,576610.2571,692702.2441,PUBLIC
3273,dfeb3d97-cd47-4e29-8572-f41c84abd6ec,13,ESSEX,3570,Newark Public School District,307,,Eagle Academy For Young Men Of Newark,Eagle Academy For Young Men Of Newark,569666.6187,683377.1755,PUBLIC
3274,831de9bf-9513-4f4d-a565-b76efce8fed2,13,ESSEX,3570,Newark Public School District,306,PRE K,Early Childhood School - South,Early Childhood Academy - South,569964.6355,683143.9276,PUBLIC
3275,6fed3322-f113-41c8-8985-32dceaaa108a,13,ESSEX,3570,Newark Public School District,301,ELEMENTARY SCHOOL,Luis Muñoz Marin Elementary School,Luis Munoz Marin Elementary School,586117.8142,706618.0998,PUBLIC
3276,dd456932-13f5-42f3-9e9d-dca5b06d6784,15,GLOUCESTER,1774,Gloucester County Special Services School District,301,SPECIAL NEEDS: AUTISM SCHOOL,Bankbridge Development Center,Bankbridge Development Center,316022.0118,344782.6351,PUBLIC
3277,4e364521-6e3f-44b6-8f19-a8c07f94a01d,15,GLOUCESTER,1774,Gloucester County Special Services School District,300,SPECIAL NEEDS,Bankbridge Elementary School,Bankbridge Elementary School,318442.9309,349230.8139,PUBLIC
3278,91898330-e332-427c-8488-5f10a92ccaff,17,HUDSON,2295,Hudson County Schools Of Technology School District,304,,Academy Of Technology Design,Academy Of Technology Design,614384.9686,688169.8148,PUBLIC
3279,e5e04ea4-17d3-45ee-90a0-a2cc2a9eeb3c,17,HUDSON,5240,Union City School District,300,,Colin Powell Elementary School,Colin Powell Elementary School,621056.6176,702619.576,PUBLIC
3280,afeccd95-df0e-4b85-8864-3f80ee032f40,23,MIDDLESEX,1290,Edison Township School District,300,PRESCHOOL,Edison Early Learning Center,Edison Early Learning Center,524164.5828,612303.8481,PUBLIC
3281,0c4b75df-f88f-4cff-a2c4-25565dcd44d9,23,MIDDLESEX,1290,Edison Township School District,302,,Franklin D Roosevelt School,Franklin D Roosevelt School,532495.444,638552.4347,PUBLIC
3282,20a55471-3914-4b11-83be-ea09753bfbde,23,MIDDLESEX,3290,Monroe Township School District,300,,Applegarth Elementary School,Applegarth Elementary School,499838.4447,532519.8863,PUBLIC
3283,3b1c6fc6-eae4-44e3-86f0-a0332fb42f75,25,MONMOUTH,3260,Monmouth County Vocational School District,301,,Academy Of Law & Public Safety,Academy Of Law & Public Safety,633753.3961,530276.1893,PUBLIC
3284,367c08a5-1799-44e5-8115-fc14f4566060,25,MONMOUTH,3255,Monmouth-Ocean Educational Services Commission School District,90,,New Jersey Virtual School,New Jersey Virtual School,611001.7982,519129.645,PUBLIC
3285,87801fe3-df0f-4acf-bae6-09d8cad14dd0,29,OCEAN,2690,Little Egg Harbor Township School District,300,,Robert C. Wood Sr Early Childhood Center,Robert C. Wood Sr Early Childhood Center,536448.9037,286447.5084,PUBLIC
3286,4a0b4dec-f9e8-48e7-8652-ea14f7cf2568,31,PASSAIC,4010,Paterson Public School District,307,HIGH SCHOOL,John F. Kennedy High School,John F. Kennedy High School,578513.2943,758307.6398,PUBLIC
3287,c14b6320-d225-4852-afbb-e2c250e35117,33,SALEM,4630,Salem City School District,50,FOUR-YEAR HIGH SCHOOL,Salem High School,Salem High School,217071.6415,265781.8358,PUBLIC
3288,4b4c95e4-c0ca-41f1-bf2c-11e463d23c60,33,SALEM,4635,Salem County Special Services School District,300,,Cumberland Campus,Cumberland Campus,288966.1358,200314.096,PUBLIC
3289,bdcf60ae-353c-4b6d-bee0-aca68a23bd01,37,SUSSEX,4960,Sparta Township Public School District,300,,Mohawk Avenue School,Mohawk Avenue School,453499.7815,801891.4876,PUBLIC
3290,2a6eb376-a44f-4cdd-a839-4004217f3e21,39,UNION,4540,Roselle Public School District,300,KINDERGARTEN SCHOOL,Kindergarten Success Academy,Kindergarten Success Academy,558398.3276,664265.8892,PUBLIC
3291,5b56014a-60e0-4a6e-80ad-48e3e1aca6a8,23,MIDDLESEX,3150,Middlesex County Vocational And Technical School District,65,COUNTY VOCATIONAL-TECHNICAL SCHOOL OR INSTITUTE,Piscataway Magnet School,Middlesex County Vocational School-Piscataway Campus,512105.4589,616318.8568,PUBLIC
3292,8b8e14fc-a106-49aa-ac7d-edc2bc3dd6c0,3,BERGEN,3730,Northvale Public School District,50,,Northvale Public School,Northvale Public School,643050.3325,794290.9038,PUBLIC
3293,84b7c587-fdb9-4295-8f6e-560e923d64df,13,ESSEX,3570,Newark Public School District,370,ELEMENTARY SCHOOL,Peshine Avenue School,Penshine Avenue School,574439.1321,684402.4201,PUBLIC
3294,7a07bd9e-1e83-48ea-b1bf-b0987d3c5db2,17,HUDSON,5240,Union City School District,90,ELEMENTARY SCHOOL,Hudson Elementary School,Hudson Elementary School,622120.5929,702874.7365,PUBLIC
3295,14a6b7e8-d3e4-432e-bed4-5bffc3752db3,31,PASSAIC,4010,Paterson Public School District,301,MIDDLE SCHOOL,Joseph A. Taub School,Joseph A. Taub School,577088.3335,758862.282,PUBLIC
3296,c9ebf3df-814b-45b1-8891-d52f16c61e71,31,PASSAIC,4010,Paterson Public School District,35,,International High School,International High School,580600.4669,756402.1436,PUBLIC
3297,97207c5f-e954-4d7e-9b4c-eb5e6b79c148,23,MIDDLESEX,3530,New Brunswick School District,60,ELEMENTARY SCHOOL,A Chester Redshaw School,A. Chester Redshaw School,505716.6774,601994.3248,PUBLIC
3298,d3693c90-1b32-47ae-81ed-8710b81903c4,35,SOMERSET,3320,Montgomery Township School District,30,FOUR-YEAR HIGH SCHOOL,Montgomery High School,Montgomery High School,434800.7651,577218.9354,PUBLIC
3299,a2ea2959-96bf-41e9-9b7c-fcd39bf2b714,23,MIDDLESEX,3530,New Brunswick School District,50,FOUR-YEAR HIGH SCHOOL,New Brunswick High School,New Brunswick High School,497186.6738,600171.8146,PUBLIC
3300,ec17da9d-5b49-4fa9-b1a4-edc303d81ef9,23,MIDDLESEX,3530,New Brunswick School District,55,MIDDLE SCHOOL,New Brunswick Middle School,New Brunswick Middle School,501182.5349,597020.7301,PUBLIC
3301,5e2385b2-7eea-4937-bb2e-7bb0c7c936ed,39,UNION,850,Clark Township Public School District,300,PRESCHOOL,Clark Preschool Annex,Clark Preschool Annex,543732.4905,652686.4832,PUBLIC
3302,3ecbc3fb-8f6f-4286-9ab3-ac2aef9302a6,3,BERGEN,2860,Lyndhurst Public School District,300,"ELEMENTARY SCHOOL, GRADE 3",Memorial School,Memorial Campus,596302.0891,722529.8655,PUBLIC
3303,bef55072-a993-4019-8d0d-f33b68083c6b,3,BERGEN,5830,Wood-Ridge School District,300,GRADES 4-6,Wood-Ridge Intermediate School,Wood-Ridge Intermediate School,606745.1945,733565.2358,PUBLIC
3304,15793cf6-1b0a-423d-a7a7-ec1b44aa6d08,13,ESSEX,3570,Newark Public School District,390,ELEMENTARY SCHOOL,Elliott Street Elementary School,Elliott Street Elementary School,585556.1772,707799.5351,PUBLIC
3305,75a453cc-c9c5-40b4-86b4-795ef5b1e6ef,39,UNION,1320,Elizabeth Public Schools,301,ELEMENTARY SCHOOL,Iprep Academy School No 8,Iprep Academy School No 8,579025.9084,662763.8824,PUBLIC
3306,8e79cfae-d5f8-43ee-a459-7df844cfca20,13,ESSEX,3570,Newark Public School District,317,ELEMENTARY SCHOOL,Salome Ureña Elementary School,Salome Ureña Elementary School,578935.0588,705186.3786,PUBLIC
3307,a13cf329-971b-4ba2-b900-6d5acfcf7bc0,17,HUDSON,2210,Hoboken Public School District,300,MIDDLE SCHOOL,Hoboken Middle School,Hoboken Middle School,622097.6533,695450.2379,PUBLIC
3308,f20899e6-e810-49f2-b316-4c4d3e6b1ff7,17,HUDSON,2390,Jersey City Public Schools,301,HIGH SCHOOL,Innovation High School,Innovation High School,607393.0206,683899.3004,PUBLIC
3309,02df53f3-da92-4c4c-889c-f1c8cf90c65a,21,MERCER,1431,Marie H. Katzenbach School For The Deaf,300,ELEMENTARY/MIDDLE,Marie H Katzenbach Elementary Middle School For The Deaf,Marie H Katzenbach Elementary/ Middle School For The Deaf,404697.4214,517227.511,PUBLIC
3310,f611933e-ded0-4ef9-9dda-3cf19308f339,21,MERCER,1431,Marie H. Katzenbach School For The Deaf,1,FOUR-YEAR HIGH SCHOOL,Marie H Katzenbach High School,Marie H Katzenbach High School For The Deaf,404697.4214,517227.511,PUBLIC
3311,2a183cb8-0999-4a74-980d-3940dad39cdd,23,MIDDLESEX,3530,New Brunswick School District,300,,Lincoln Annex School,Lincoln Annex School,500597.2355,599864.9281,PUBLIC
3312,ed1bf3f6-5d45-4930-82fd-9f842b9712f1,27,MORRIS,3365,Morris County Vocational School District,300,FOUR-YEAR HIGH SCHOOL,Academy For Environmental Science,Academy For Environmental Science,477539.7134,795261.9609,PUBLIC
3313,f94a64ca-1d5b-4076-b472-e4fc9aef3519,31,PASSAIC,4010,Paterson Public School District,313,ELEMENTARY SCHOOL,Dr. Hani Awadallah School,Dr. Hani Awadallah School,584053.6073,751495.6747,PUBLIC
3314,9ba329c5-7474-446a-8b53-d4f0cd8d2b8d,31,PASSAIC,4010,Paterson Public School District,308,"Specialized Academy, operates by by bNJCDC",Garrett Morgan Academy,Garrett Morgan Academy,580600.4669,756402.1436,PUBLIC
3315,ff51eed9-c717-4ed6-b430-3654026e0fd4,31,PASSAIC,4010,Paterson Public School District,309,,School 16,School 16,586826.5696,754619.1061,PUBLIC
3316,01fe3125-f7bc-4523-8d13-708e9eef71bb,39,UNION,1320,Elizabeth Public Schools,250,ELEMENTARY SCHOOL,William F. Halloran School No.22,"Number 22, William F. Halloran Elementary School",572939.0147,660392.3724,PUBLIC
3317,eb6c1c48-102f-40f3-8e21-1cd882122d09,39,UNION,1320,Elizabeth Public Schools,302,GREADES K-8,Jerome Dunn Academy No 9,Jerome Dunn Academy No 9,578115.4722,662623.5277,PUBLIC
3318,b6136bb6-ade4-4c5d-94da-799cfe300ba2,39,UNION,5260,Union County Vocational-Technical School District,301,COUNTY VOCATIONAL-TECHNICAL SCHOOL OR INSTITUTE,Union County Career & Technical Institute,Union County Career & Technical Institute,531721.9859,650302.968,PUBLIC
3319,4324b7ba-d3ee-4bcc-81cb-fae5f81d80c8,5,BURLINGTON,605,Burlington County Special Services School District,11,SPECIAL SECONDARY SCHOOL FOR HANDICAPPED,Burlington County Alternative High School,Burlington County Alternative High School,380301.5903,414922.8594,PUBLIC
3320,c57e8ca9-f5f7-431f-8886-23633192ae61,7,CAMDEN,1802,"Mastery Schools of Camden, Inc.",112,ELEMENTARY,"Mastery Schools Of Camden, Inc.",Cramer Hill Elementary,323778.3716,407361.1852,
3321,f2c514cf-4984-4945-869b-a85cc03d06d3,7,CAMDEN,1802,"Mastery Schools of Camden, Inc.",112,"MIDDLE SCHOOL, 6-9","Mastery Schools Of Camden, Inc.",East Camden,329745.8266,405380.3476,
3322,f370fe23-ffca-4037-9025-9f10378e12e8,80,ESSEX,7325,Team Academy Charter School,965,ELEMENTARY (K-GRADE 4),TEAM Academy Charter School,Kipp Life Academy Charter School,570471.6975,686410.1874,
3323,14235ca0-c181-43f3-96e7-d31347323c82,80,ESSEX,7325,Team Academy Charter School,965,MIDDLE SCHOOL (GRADES 5-8),TEAM Academy Charter School,Kipp Team Academy Charter School,574486.0769,684048.9349,
3324,0f5e2266-4d90-43b9-9286-c6a9538d238a,80,ESSEX,7325,Team Academy Charter School,965,HIGH SCHOOL,TEAM Academy Charter School,Kipp Newark Collegiate Academy Charter School,576574.7522,695383.1452,
3325,f19106a9-f4c4-4fe3-8e8a-4617f476f743,80,ESSEX,7325,Team Academy Charter School,965,ELEMENTARY (K-GRADE 3),TEAM Academy Charter School,Kipp Thrive Academy Charter School,577457.3312,690638.7994,
3326,8f297d5f-40bd-4cf7-8540-38dbbaf8dc5c,80,ESSEX,7210,Marion P. Thomas Charter School,940,HIGH SCHOOL,Marion P. Thomas Charter School,Marion P. Thomas Charter School-High School,580649.8638,697134.792,CHARTER
3327,ab70ccef-7013-4b1c-9f34-c9411323bb0f,80,ESSEX,7210,Marion P. Thomas Charter School,940,GRADES 2-5,Marion P. Thomas Charter School,Marion P. Thomas Charter School-Select Academy,580834.9504,692026.3029,CHARTER
3328,3940ce82-c52e-43b6-a5b6-52f22a1c7593,80,ESSEX,7210,Marion P. Thomas Charter School,940,MIDDLE SCHOOL,Marion P. Thomas Charter School,Marion P. Thomas Charter School-Middle School,575439.2154,694884.8572,CHARTER
3329,0da35667-45a5-4786-9a1d-c8ed0f61d068,80,MERCER,6017,Foundation Academy Charter School,932,HIGH SCHOOL,Foundation Academy Charter School,Foundation Collegiate Academy Charter School,421955.1176,500066.9594,
3330,f3f64ec0-c73f-426e-9c5c-5db2a44ae0f6,80,ESSEX,7320,North Star Academy Charter School,960,ELEMENTARY,North Star Academy Charter School,North Star Academy Cs Of Newark-Alexander Street Elementary School,568372.9199,696007.3346,
3331,3cd920da-29ef-49dd-afed-b1e6892f6a65,80,ESSEX,7320,North Star Academy Charter School,960,ELEMENTARY,North Star Academy Charter School,North Star Academy Cs Of Newark-Fairmount Elementary School,576459.7741,697257.8928,
